GNSS heading		dr_yaw_angle		yaw_rate_accum_tmp		steer_angle		str_moving_avg_result		stanley_steering_angle		path_angle		dr_yaw_angle		psi		atan_tmp		s		triangle_area		distance_a		distance_b		distance_c		x_error
273.84570000		273.85811380		0.07368656		-500		-174.99365225		-174.99304859		86.98626304		273.85811380		173.12815971		1.86488888		3.66658280		0.08249076		3.16104379		0.50670079		3.66542102		0.32559950
273.84570000		273.86268429		0.07825704		-500		-174.99468121		-174.98864099		86.98626304		273.86268429		173.12375210		1.86488888		3.66658280		0.08249076		3.16104379		0.50670079		3.66542102		0.32559950
273.84570000		273.86644732		0.08202008		-500		-174.99529772		-174.98475902		86.98626304		273.86644732		173.11987013		1.86488888		3.66658280		0.08249076		3.16104379		0.50670079		3.66542102		0.32559950
273.84570000		273.86932919		0.08490195		-500		-174.99093753		-174.98183694		86.98626304		273.86932919		173.11694806		1.86488888		3.66658280		0.08249076		3.16104379		0.50670079		3.66542102		0.32559950
273.84570000		273.87287427		0.08844703		-500		-174.98705816		-174.97828591		86.98626304		273.87287427		173.11339703		1.86488888		3.66658280		0.08249076		3.16104379		0.50670079		3.66542102		0.32559950
273.84570000		273.84706507		0.09167446		-500		-174.98538906		-175.00427607		86.98626304		273.84706507		173.13938719		1.86488888		3.66658280		0.08249076		3.16104379		0.50670079		3.66542102		0.32559950
273.84570000		273.85279846		0.09740785		-500		-174.98868197		-174.99835383		86.98626304		273.85279846		173.13346495		1.86488888		3.66658280		0.08249076		3.16104379		0.50670079		3.66542102		0.32559950
273.84570000		273.85769806		0.10230744		-500		-174.99146574		-174.99345943		86.98626304		273.85769806		173.12857054		1.86488888		3.66658280		0.08249076		3.16104379		0.50670079		3.66542102		0.32559950
273.84570000		273.86159066		0.10620005		-500		-174.99388785		-174.98956497		86.98626304		273.86159066		173.12467608		1.86488888		3.66658280		0.08249076		3.16104379		0.50670079		3.66542102		0.32559950
273.84570000		273.86587491		0.11048429		-500		-174.99472993		-174.98528078		86.98626304		273.86587491		173.12039190		1.86488888		3.66658280		0.08249076		3.16104379		0.50670079		3.66542102		0.32559950
273.84570000		273.86851955		0.11312894		-500		-111.99647318		-174.98263354		86.98626304		273.86851955		173.11774465		1.86488888		3.66658280		0.08249076		3.16104379		0.50670079		3.66542102		0.32559950
273.84570000		273.87196494		0.11657433		-500		-174.98786223		-174.97919523		86.98626304		273.87196494		173.11430634		1.86488888		3.66658280		0.08249076		3.16104379		0.50670079		3.66542102		0.32559950
273.84570000		273.87511185		0.11972124		-500		-174.98449571		-174.97604374		86.98626304		273.87511185		173.11115486		1.86488888		3.66658280		0.08249076		3.16104379		0.50670079		3.66542102		0.32559950
273.84570000		273.84931350		0.12459487		-500		-174.98617369		-175.00189095		86.98626304		273.84931350		173.13700206		1.86488888		3.66658280		0.08249076		3.16104379		0.50670079		3.66542102		0.32559950
273.84570000		273.85227418		0.12755555		-500		-174.98910591		-174.99887789		86.98626304		273.85227418		173.13398900		1.86488888		3.66658280		0.08249076		3.16104379		0.50670079		3.66542102		0.32559950
273.84570000		273.85598070		0.13126207		-500		-174.99187394		-174.99535866		86.98626304		273.85598070		173.13046978		1.86488888		3.66658280		0.08249076		3.16104379		0.50670079		3.66542102		0.32559950
273.84570000		273.85935886		0.13464023		-500		-174.99434541		-174.99180237		86.98626304		273.85935886		173.12691349		1.86488888		3.66658280		0.08249076		3.16104379		0.50670079		3.66542102		0.32559950
273.84570000		273.86277046		0.13805183		-500		-174.99673270		-174.98838721		86.98626304		273.86277046		173.12349833		1.86488888		3.66658280		0.08249076		3.16104379		0.50670079		3.66542102		0.32559950
273.84570000		273.86686799		0.14214936		-500		-174.99296362		-174.98429375		86.98626304		273.86686799		173.11940487		1.86488888		3.66658280		0.08249076		3.16104379		0.50670079		3.66542102		0.32559950
273.84570000		273.87166138		0.14694256		-500		-174.98885481		-174.97950754		86.98626304		273.87166118		173.11461866		1.86488888		3.66658280		0.08249076		3.16104379		0.50670079		3.66542102		0.32559950
273.84570000		273.87555242		0.15083379		-500		-174.98538045		-174.97559967		86.98626304		273.87555242		173.11071079		1.86488888		3.66658280		0.08249076		3.16104379		0.50670079		3.66542102		0.32559950
273.84570000		273.84935005		0.15474880		-500		-174.98726129		-175.00180568		86.98626304		273.84935005		173.13691679		1.86488888		3.66658280		0.08249076		3.16104379		0.50670079		3.66542102		0.32559950
273.84570000		273.85676632		0.16216507		-500		-111.40855718		-174.99438709		86.98626304		273.85676632		173.12949821		1.86488888		3.66658280		0.08249076		3.16104379		0.50670079		3.66542102		0.32559950
273.84570000		273.86095123		0.16634998		-500		-174.99336085		-174.99039889		86.98626304		273.86095123		173.12551001		1.86488888		3.66658280		0.08249076		3.16104379		0.50670079		3.66542102		0.32559950
273.84570000		273.86454913		0.16994788		-500		-174.99573700		-174.98660591		86.98626304		273.86454913		173.12171703		1.86488888		3.66658280		0.08249076		3.16104379		0.50670079		3.66542102		0.32559950
273.84570000		273.86764149		0.17304025		-500		-174.99228831		-174.98351866		86.98626304		273.86764149		173.11862978		1.86488888		3.66658280		0.08249076		3.16104379		0.50670079		3.66542102		0.32559950
273.84570000		273.86267462		0.19871132		-500		-174.99426738		-174.98848881		86.98626304		273.86267462		173.12359992		1.86488888		3.66658280		0.08249076		3.16104379		0.50670079		3.66542102		0.32559950
273.84570000		273.86720849		0.20324520		-500		-174.99343299		-174.98395808		86.98626304		273.86720849		173.11906920		1.86488888		3.66658280		0.08249076		3.16104379		0.50670079		3.66542102		0.32559950
273.84570000		273.86188689		0.23562697		-500		-174.98930264		-174.98926777		86.98626304		273.86188689		173.12437889		1.86488888		3.66658280		0.08249076		3.16104379		0.50670079		3.66542102		0.32559950
273.84570000		273.86667307		0.24041315		-500		-174.99252869		-174.98447885		86.98626304		273.86667307		173.11958997		1.86488888		3.66658280		0.08249076		3.16104379		0.50670079		3.66542102		0.32559950
273.84570000		273.87659218		0.25033226		-500		-174.98570068		-174.97456938		86.98626304		273.87659218		173.10968050		1.86488888		3.66658280		0.08249076		3.16104379		0.50670079		3.66542102		0.32559950
273.84570000		273.85687473		0.26389166		-500		-174.98889349		-174.99427719		86.98626304		273.85687473		173.12938831		1.86488888		3.66658280		0.08249076		3.16104379		0.50670079		3.66542102		0.32559950
273.84570000		273.86126125		0.26827817		-500		-174.99172083		-174.98990071		86.98626304		273.86126125		173.12501182		1.86488888		3.66658280		0.08249076		3.16104379		0.50670079		3.66542102		0.32559950
273.84570000		273.86678439		0.27380132		-500		-174.99448904		-174.98456419		86.98626304		273.86678439		173.11967531		1.86488888		3.66658280		0.08249076		3.16104379		0.50670079		3.66542102		0.32559950
273.84570000		273.85320034		0.29050344		-500		-25.78109886		-174.99795208		86.98626304		273.85320034		173.13306320		1.86488888		3.66658280		0.08249076		3.16104379		0.50670079		3.66542102		0.32559950
273.84570000		273.85467574		0.29197884		-500		-174.99592024		-174.99647442		86.98626304		273.85467574		173.13158553		1.86488888		3.66658280		0.08249076		3.16104379		0.50670079		3.66542102		0.32559950
273.84570000		273.85231605		0.28961903		-500		-174.99787199		-174.99883564		86.98626304		273.85231605		173.13394676		1.86488888		3.66658280		0.08249076		3.16104379		0.50670079		3.66542102		0.32559950
273.84570000		273.85220546		0.28950856		-500		-174.99782202		-174.99894623		86.98626304		273.85220546		173.13405735		1.86488888		3.66658280		0.08249076		3.16104379		0.50670079		3.66542102		0.32559950
273.84570000		273.84496030		0.28125318		-500		-175.00216391		-175.00950175		86.98626304		273.84496030		173.14130280		1.86819895		3.67757216		0.08263728		3.17202976		0.50670079		3.67641377		0.32617782
273.84570000		273.84501564		0.28130852		-500		-8.51648562		-175.00944663		86.98626304		273.84501564		173.14124768		1.86819895		3.67757216		0.08263728		3.17202976		0.50670079		3.67641377		0.32617782
273.84570000		273.84751627		0.28380915		-500		-175.00543123		-175.00694829		86.98626304		273.84751627		173.13874933		1.86819895		3.67757216		0.08263728		3.17202976		0.50670079		3.67641377		0.32617782
273.84570000		273.84758971		0.28388259		-500		-175.00551633		-175.00687424		86.98626304		273.84758971		173.13867529		1.86819895		3.67757216		0.08263728		3.17202976		0.50670079		3.67641377		0.32617782
273.84570000		273.84904881		0.28534170		-500		-175.00695168		-175.00541480		86.98626304		273.84904881		173.13721585		1.86819895		3.67757216		0.08263728		3.17202976		0.50670079		3.67641377		0.32617782
273.84570000		273.84913251		0.28542539		-500		-175.00698258		-175.00533102		86.98626304		273.84913251		173.13713207		1.86819895		3.67757216		0.08263728		3.17202976		0.50670079		3.67641377		0.32617782
273.84570000		273.85213698		0.28842987		-500		-175.00697839		-175.00232733		86.98626304		273.85213698		173.13412838		1.86819895		3.67757216		0.08263728		3.17202976		0.50670079		3.67641377		0.32617782
273.84570000		273.85223975		0.28853263		-500		-175.00694392		-175.00222657		86.98626304		273.85223975		173.13402761		1.86819895		3.67757216		0.08263728		3.17202976		0.50670079		3.67641377		0.32617782
273.84570000		273.85386278		0.29015566		-500		-175.00570992		-175.00060151		86.98626304		273.85386278		173.13240256		1.86819895		3.67757216		0.00000000		3.17202976		0.50670079		3.67641377		0.32617782
273.84570000		273.85393166		0.29022454		-500		-175.00371457		-175.00052783		86.98626304		273.85393166		173.13232888		1.86819895		3.67757216		0.08263728		3.17202976		0.50670079		3.67641377		0.32617782
273.84570000		273.84542176		0.28923538		-500		-175.00254844		-175.00572798		86.98626304		273.84542176		173.14083910		1.86488888		3.66658280		0.08249076		3.16104379		0.50670079		3.66542102		0.32559950
273.84570000		273.84377066		0.28758428		-500		-175.00279438		-175.00737919		86.98626304		273.84377066		173.14249031		1.86488888		3.66658280		0.08249076		3.16104379		0.50670079		3.66542102		0.32559950
273.84570000		273.84218602		0.28599964		-500		-175.00391615		-175.00896290		86.98626304		273.84218602		173.14407401		1.86488888		3.66658280		0.08249076		3.16104379		0.50670079		3.66542102		0.32559950
273.84570000		273.84129661		0.28511022		-500		-175.00767682		-175.00984113		86.98626304		273.84129661		173.14495224		1.86488888		3.66658280		0.00000000		3.16104379		0.50670079		3.66542102		0.32559950
273.84570000		273.84128262		0.28509624		-500		-72.33563485		-175.00986916		86.98626304		273.84128262		173.14498027		1.86488888		3.66658280		0.08249076		3.16104379		0.50670079		3.66542102		0.32559950
273.84570000		273.84318126		0.28699488		-500		-175.00914696		-175.00797097		86.98626304		273.84318126		173.14308209		1.86488888		3.66658280		0.08249076		3.16104379		0.50670079		3.66542102		0.32559950
273.84570000		273.84318663		0.28700024		-500		-125.19011336		-175.00796535		86.98626304		273.84318663		173.14307647		1.86488888		3.66658280		0.08249076		3.16104379		0.50670079		3.66542102		0.32559950
273.84570000		273.84334113		0.28715474		-500		-175.00896014		-175.00781043		86.98626304		273.84334113		173.14292155		1.86488888		3.66658280		0.08249076		3.16104379		0.50670079		3.66542102		0.32559950
273.84570000		273.84550728		0.28686050		-500		-175.00862603		-175.00895380		86.98626304		273.84550728		173.14075485		1.86819895		3.67757216		0.08263728		3.17202976		0.50670079		3.67641377		0.32617782
273.84570000		273.84362198		0.28497520		-500		-175.00870140		-175.01083635		86.98626304		273.84362198		173.14263740		1.86819895		3.67757216		0.08263728		3.17202976		0.50670079		3.67641377		0.32617782
273.84570000		273.83931903		0.28067225		-500		-88.20514091		-175.01514281		86.98626304		273.83931903		173.14694386		1.86819895		3.67757216		0.08263728		3.17202976		0.50670079		3.67641377		0.32617782
273.84570000		273.84630418		0.28168567		-500		-175.01259015		-175.00816312		86.98626304		273.84630418		173.13996417		1.86819895		3.67757216		0.08263728		3.17202976		0.50670079		3.67641377		0.32617782
273.84570000		273.84761160		0.28299309		-500		-175.00935191		-175.00684950		86.98626304		273.84761160		173.13865055		1.86819895		3.67757216		0.08263728		3.17202976		0.50670079		3.67641377		0.32617782
273.84570000		273.84764080		0.28302229		-500		-175.00786939		-175.00682093		86.98626304		273.84764080		173.13862197		1.86819895		3.67757216		0.08263728		3.17202976		0.50670079		3.67641377		0.32617782
273.84570000		273.84488665		0.28026813		-500		-175.00741849		-175.00957042		86.98626304		273.84488665		173.14137147		1.86819895		3.67757216		0.08263728		3.17202976		0.50670079		3.67641377		0.32617782
273.84570000		273.84572796		0.27966265		-500		-175.00823045		-175.00872808		86.98626304		273.84572796		173.14052913		1.86819895		3.67757216		0.08263728		3.17202976		0.50670079		3.67641377		0.32617782
273.84570000		273.84779448		0.28172916		-500		-114.33922727		-175.00666737		86.98626304		273.84779448		173.13846842		1.86819895		3.67757216		0.08263728		3.17202976		0.50670079		3.67641377		0.32617782
273.84570000		273.84696266		0.28089735		-500		-175.00721250		-175.00749904		86.98626304		273.84696266		173.13930009		1.86819895		3.67757216		0.08263728		3.17202976		0.50670079		3.67641377		0.32617782
273.84570000		273.84662914		0.28056383		-500		-175.00706694		-175.00758408		86.98626304		273.84662914		173.13938513		1.86819895		3.67757216		0.08263728		3.17202976		0.50670079		3.67641377		0.32617782
273.84570000		273.84563214		0.27956683		-500		-175.00733699		-175.00882825		86.98626304		273.84563214		173.14062930		1.86819895		3.67757216		0.08263728		3.17202976		0.50670079		3.67641377		0.32617782
273.84570000		273.84519356		0.27912825		-500		-175.00789447		-175.00926823		86.98626304		273.84519356		173.14106928		1.86819895		3.67757216		0.08263728		3.17202976		0.50670079		3.67641377		0.32617782
273.84570000		273.84518899		0.27912368		-500		-175.00791679		-175.00927300		86.98626304		273.84518899		173.14107405		1.86819895		3.67757216		0.08263728		3.17202976		0.50670079		3.67641377		0.32617782
273.84570000		273.84599547		0.27993016		-500		-175.00845449		-175.00846655		86.98626304		273.84599547		173.14026760		1.86819895		3.67757216		0.08263728		3.17202976		0.50670079		3.67641377		0.32617782
273.84570000		273.84556395		0.27949864		-500		-175.00869560		-175.00889814		86.98626304		273.84556395		173.14069918		1.86819895		3.67757216		0.08263728		3.17202976		0.50670079		3.67641377		0.32617782
273.84570000		273.84643564		0.28037033		-500		-175.00882004		-175.00802853		86.98626304		273.84643564		173.13982958		1.86819895		3.67757216		0.08263728		3.17202976		0.50670079		3.67641377		0.32617782
273.84570000		273.84603073		0.28247228		-500		-175.00929181		-175.00512379		86.98626304		273.84603073		173.14023490		1.86488888		3.66658280		0.08249076		3.16104379		0.50670079		3.66542102		0.32559950
273.84570000		273.84550691		0.28194846		-500		-175.00728398		-175.00564487		86.98626304		273.84550692		173.14075599		1.86488888		3.66658280		0.08249076		3.16104379		0.50670079		3.66542102		0.32559950
273.84570000		273.84526218		0.28170373		-500		-175.00597546		-175.00581504		86.98626304		273.84526218		173.14092615		1.86488888		3.66658280		0.08249076		3.16104379		0.50670079		3.66542102		0.32559950
273.84570000		273.84347054		0.27991208		-500		-175.00576475		-175.00767942		86.98626304		273.84347054		173.14279054		1.86488888		3.66658280		0.08249076		3.16104379		0.50670079		3.66542102		0.32559950
273.84570000		273.84541531		0.27915310		-500		-175.00621977		-175.00570243		86.98626304		273.84541531		173.14081355		1.86488888		3.66658280		0.08249076		3.16104379		0.50670079		3.66542102		0.32559950
273.84570000		273.84441275		0.27815054		-500		-175.00603732		-175.00673921		86.98626304		273.84441271		173.14185033		1.86488888		3.66658280		0.08249076		3.16104379		0.50670079		3.66542102		0.32559950
273.84570000		273.84449340		0.27751295		-500		-175.00619668		-175.00665790		86.98626304		273.84449340		173.14176901		1.86488888		3.66658280		0.08249076		3.16104379		0.50670079		3.66542102		0.32559950
273.84570000		273.84419446		0.27721401		-500		-175.00623599		-175.00695780		86.98626304		273.84419446		173.14206892		1.86488888		3.66658280		0.08249076		3.16104379		0.50670079		3.66542102		0.32559950
273.84570000		273.84493126		0.27795081		-500		-175.00656706		-175.00631495		86.98626304		273.84493126		173.14142607		1.86488888		3.66658280		0.08249076		3.16104379		0.50670079		3.66542102		0.32559950
273.84570000		273.84573922		0.27911392		-500		-175.00646431		-175.00541273		86.98626304		273.84573922		173.14052385		1.86488888		3.66658280		0.08249076		3.16104379		0.50670079		3.66542102		0.32559950
273.84570000		273.84511517		0.27848987		-500		-78.28602529		-175.00603691		86.98626304		273.84511516		173.14114803		1.86488888		3.66658280		0.08249076		3.16104379		0.50670079		3.66542102		0.32559950
273.84570000		273.84428071		0.27765541		-500		-175.00600155		-175.00686823		86.98626304		273.84428071		173.14197934		1.86488888		3.66658280		0.08249076		3.16104379		0.50670079		3.66542102		0.32559950
273.84570000		273.84391584		0.27729054		-500		-175.00650076		-175.00723199		86.98626304		273.84391584		173.14234311		1.86488888		3.66658280		0.08249076		3.16104379		0.50670079		3.66542102		0.32559950
273.84570000		273.84343217		0.27680686		-500		-175.00692643		-175.00772022		86.98626304		273.84343217		173.14283133		1.86488888		3.66658280		0.08249076		3.16104379		0.50670079		3.66542102		0.32559950
273.84570000		273.84689375		0.27835321		-500		-175.00612770		-175.00425814		86.98626304		273.84689375		173.13936926		1.86488888		3.66658280		0.08249076		3.16104379		0.50670079		3.66542102		0.32559950
273.84570000		273.84588423		0.27734368		-500		-175.00477717		-175.00526749		86.98626304		273.84588423		173.14037861		1.86488888		3.66658280		0.08249076		3.16104379		0.50670079		3.66542102		0.32559950
273.84570000		273.84556474		0.27702419		-500		-175.00482650		-175.00565180		86.98626304		273.84556474		173.14076292		1.86488888		3.66658280		0.08249076		3.16104379		0.50670079		3.66542102		0.32559950
273.84570000		273.84561440		0.27707385		-500		-175.00482702		-175.00558078		86.98626304		273.84561440		173.14069190		1.86488888		3.66658280		0.08249076		3.16104379		0.50670079		3.66542102		0.32559950
273.84570000		273.84565442		0.27749992		-500		-175.00507273		-175.00549535		86.98626304		273.84565442		173.14060646		1.86488888		3.66658280		0.08249076		3.16104379		0.50670079		3.66542102		0.32559950
273.84570000		273.84620275		0.27804825		-500		-175.00503036		-175.00494951		86.98626304		273.84620275		173.14006063		1.86488888		3.66658280		0.08249076		3.16104379		0.50670079		3.66542102		0.32559950
273.84570000		273.84572288		0.27835447		-500		-175.00503120		-175.00541157		86.98626304		273.84572288		173.14052269		1.86488888		3.66658280		0.08249076		3.16104379		0.50670079		3.66542102		0.32559950
273.84570000		273.84601724		0.27864884		-500		-175.00498887		-175.00513525		86.98626304		273.84601724		173.14024637		1.86488888		3.66658280		0.08249076		3.16104379		0.50670079		3.66542102		0.32559950
273.84570000		273.84651891		0.27915051		-500		-175.00494382		-175.00463510		86.98626304		273.84651891		173.13974622		1.86488888		3.66658280		0.08249076		3.16104379		0.50670079		3.66542102		0.32559950
273.84570000		273.84710498		0.27973658		-500		-52.26807276		-175.00404685		86.98626304		273.84710500		173.13915797		1.86488888		3.66658280		0.08249076		3.16104379		0.50670079		3.66542102		0.32559950
273.84570000		273.84699993		0.27963153		-500		-75.95215506		-175.00415204		86.98626304		273.84699993		173.13926316		1.86488888		3.66658280		0.08249076		3.16104379		0.50670079		3.66542102		0.32559950
273.84570000		273.84548293		0.27940240		-500		-175.00448844		-175.00566784		86.98626304		273.84548293		173.14077895		1.86488888		3.66658280		0.08249076		3.16104379		0.50670079		3.66542102		0.32559950
273.84570000		273.84343728		0.27735675		-500		-58.68499063		-175.00771454		86.98626304		273.84343728		173.14282565		1.86488888		3.66658280		0.08249076		3.16104379		0.50670079		3.66542102		0.32559950
273.84570000		273.84342306		0.27734253		-500		-89.95273303		-175.00772870		86.98626304		273.84342306		173.14283981		1.86488888		3.66658280		0.08249076		3.16104379		0.50670079		3.66542102		0.32559950
273.84570000		273.84407043		0.27798990		-500		-175.00704588		-175.00708209		86.98626304		273.84407043		173.14219321		1.86488888		3.66658280		0.08249076		3.16104379		0.50670079		3.66542102		0.32559950
273.84570000		273.84452902		0.27844848		-500		-175.00728684		-175.00662198		86.98626304		273.84452902		173.14173310		1.86488888		3.66658280		0.08249076		3.16104379		0.50670079		3.66542102		0.32559950
273.84570000		273.84377741		0.27769687		-500		-175.02996937		-175.05812597		86.98626304		273.84377741		173.14248408		1.91564189		3.66698025		0.08473740		3.16150525		0.50670079		3.66575446		0.33446721
273.84570000		273.84408190		0.27800136		-500		-175.04460276		-175.05781785		86.98626304		273.84408190		173.14217596		1.91564189		3.66698025		0.08473740		3.16150525		0.50670079		3.66575446		0.33446721
273.84570000		273.84363124		0.27755070		-500		-175.05511954		-175.05827252		86.98626304		273.84363124		173.14263064		1.91564189		3.66698025		0.08473740		3.16150525		0.50670079		3.66575446		0.33446721
273.84570000		273.84322149		0.27714095		-500		-175.05806252		-175.05868325		86.98626304		273.84322149		173.14304136		1.91564189		3.66698025		0.08473740		3.16150525		0.50670079		3.66575446		0.33446721
273.84570000		273.84230701		0.27622648		-500		-175.05835056		-175.05959782		86.98626304		273.84230706		173.14395594		1.91564189		3.66698025		0.08473740		3.16150525		0.50670079		3.66575446		0.33446721
273.84570000		273.84228835		0.27620781		-500		-175.05883551		-175.05961687		86.98626304		273.84228835		173.14397498		1.91564189		3.66698025		0.08473740		3.16150525		0.50670079		3.66575446		0.33446721
273.84570000		273.84559013		0.27610900		-500		-100.48379211		-175.00556141		86.98626304		273.84559013		173.14067253		1.86488888		3.66658280		0.08249076		3.16104379		0.50670079		3.66542102		0.32559950
273.84570000		273.84428243		0.27480131		-500		-18.55631955		-175.00686970		86.98626304		273.84428240		173.14198082		1.86488888		3.66658280		0.08249076		3.16104379		0.50670079		3.66542102		0.32559950
